

Software Version	2.09.1



Experiment File Path:	C:\Users\Lippert Lab\Documents\LippertLab\Caleb\CMG1_210.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/28/2024
Time	4:18:21 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Start Kinetic	Runtime 2:00:00 (HH:MM:SS), Interval 0:01:00, 121 Reads
    Read	Luminescence Endpoint
	A1..F8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 135
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:55:00	24.7	22705	21719	21340	22450	24659	17223	48276	88720					21031	20754	20871	20444	21647	105806	98739	24515					23893	21902	22422	20031	23518	28987	53063	67279					23164	22379	21547	21105	21240	66659	100487	22568					22740	24012	22232	24378	24181	21334	42648	112318					23787	23929	23092	24256	23600	85592	142460	22279																												
0:56:00	24.7	22360	21228	21347	22199	24145	16948	47169	86690					20580	20409	20485	19947	21505	103207	96225	23921					23428	21436	21981	19747	23259	28685	51267	65648					22824	21860	21058	20763	20983	64936	98109	22052					22265	23691	22003	23802	23749	21027	41902	107412					23585	23248	22297	23992	23334	83253	140197	21629																												
0:57:00	24.8	21536	20874	20733	21919	23708	16675	46096	84166					20345	19968	20149	19634	20650	100398	93791	23446					23003	21006	21796	19377	22708	27926	50136	63624					22398	21462	20628	20519	20669	63027	95547	21807					22049	23130	21515	23575	23499	20508	40680	104243					23237	22646	22009	23477	23157	81311	134469	21347																												
0:58:00	24.8	21161	20633	20330	21323	23167	16225	44990	82166					19921	19513	19677	19465	20538	98162	92023	22978					22455	20711	21211	18686	22298	26996	48865	61842					22092	20722	20467	19939	20561	61197	93360	21225					21288	22650	20837	23213	23195	20211	39870	102172					22547	22117	21743	23044	23063	79063	133273	21192																												
0:59:00	24.8	20724	20181	19805	20888	22609	15833	43739	79937					19656	19307	19320	18834	20056	95826	88954	22835					22148	20187	20925	18374	21654	26615	48144	60429					21421	20681	19851	19926	20257	59709	91188	20745					21033	22224	20385	22837	23065	19890	38619	99547					22092	21461	20945	22653	22512	76898	128391	20586																												
1:00:00	24.8	20405	19828	19544	20426	21822	15439	42460	77884					19377	18905	18673	18593	19654	93779	87587	22353					21721	19482	20229	18060	21218	25829	46801	58555					21191	20364	19138	19488	20272	57995	88877	20653					20590	21691	19931	22499	22907	19453	37872	96983					21884	21427	20460	22280	22229	74956	126290	20093																												
1:01:00	24.8	20013	19448	19191	20003	21287	15403	41376	76399					18728	18639	18473	18123	19249	91509	85162	22011					21539	19570	19736	17722	20895	25042	45839	57244					20590	19885	19217	19179	19808	56761	86302	20030					20149	21370	19623	21934	22648	19170	36864	94695					21403	20685	20198	21998	22032	72445	122964	19982																												
1:02:00	24.8	19763	19127	18929	19809	21042	14868	40738	74363					18597	18234	18139	17722	18947	89547	83136	21573					21273	19150	19502	17288	20403	24938	44872	56166					20357	19346	18674	18802	19673	55138	84295	19615					19596	20889	19201	21547	22264	18540	36022	92240					20989	20278	19723	21712	21972	71140	121170	19456																												
1:03:00	24.8	19172	18590	18689	19393	20616	14629	39666	72323					18094	17845	17952	17434	18615	87890	81338	21540					20805	18907	19145	17109	20053	24561	43830	54291					19944	19405	18287	18482	19518	53966	82700	19281					19210	20407	18733	21235	22015	18046	34838	89610					20656	19982	19478	21335	21853	68598	117504	18953																												
1:04:00	24.8	18920	18079	18328	18905	20039	14401	38624	70578					17929	17617	17379	16949	18128	85488	78945	20801					20450	18427	18956	16458	19624	23731	42897	53605					19645	18691	17970	18176	19180	52538	80316	18987					18866	20039	18350	20800	21923	18073	34418	87927					20005	19381	19218	20987	21369	67192	116109	18677																												
